"";"prec1";"prec2";"prec3";"prec4";"prec5";"prec6";"prec7";"prec8";"temp1";"temp2";"temp3";"temp4";"temp5";"temp6";"temp7";"temp8"
"1";-0.1882;-0.1923;0.5144;-0.4421;-1.0141;0.1396;0.567;-0.9969;-2.1281;-0.2062;0.8654;2.0329;-0.4401;-3.2108;1.2925;-2.3218
"2";0.0237;-0.5744;0.7118;-0.231;-1.2575;0.244;0.7317;-1.2953;-2.0453;-0.0876;0.8473;2.0938;-0.3655;-3.0909;1.3242;-2.0939
"3";0.1248;-0.8069;0.871;-0.1504;-1.4455;0.3064;0.8433;-1.5283;-2.1159;-0.0366;0.8855;2.271;-0.3658;-3.2163;1.4135;-2.0774
"4";0.2983;-1.1553;1.0788;0.0082;-1.6953;0.4007;1.0012;-1.8366;-2.1373;0.0623;0.909;2.4342;-0.3241;-3.2598;1.5027;-1.9663
"5";0.3809;-1.2811;1.1256;0.1031;-1.7199;0.4278;1.0214;-1.8872;-1.9941;0.1192;0.8569;2.3559;-0.2739;-3.0474;1.4481;-1.7541
"6";0.683;-1.8507;1.4389;0.4007;-2.0293;0.5673;1.216;-2.3103;-1.8759;0.332;0.8369;2.4963;-0.1441;-2.8773;1.5253;-1.3754
"7";0.7373;-1.9472;1.4877;0.4542;-2.1018;0.5963;1.2666;-2.392;-1.8992;0.3732;0.8511;2.5392;-0.1115;-2.899;1.5683;-1.3668
"8";0.9335;-2.3655;1.7542;0.623;-2.4283;0.711;1.4683;-2.7905;-1.9816;0.4755;0.9016;2.7965;-0.088;-3.0457;1.7039;-1.2966
"9";1.093;-2.6203;1.8601;0.7991;-2.5188;0.7717;1.5352;-2.9264;-1.8079;0.5949;0.844;2.7294;0.0147;-2.7742;1.6714;-0.9976
"10";1.3314;-3.0689;2.1063;1.0304;-2.8069;0.8913;1.7232;-3.2877;-1.7606;0.7411;0.8444;2.8599;0.0996;-2.7076;1.7473;-0.7718
"11";-0.1387;-0.2686;0.5437;-0.387;-1.0452;0.1592;0.5913;-1.0386;-2.0303;-0.1937;0.8274;1.9744;-0.4317;-3.0774;1.2384;-2.1932
"12";-0.0212;-0.4748;0.6458;-0.2625;-1.1126;0.2031;0.6329;-1.1557;-1.9071;-0.0995;0.7888;1.9607;-0.3634;-2.895;1.2245;-1.9564
"13";0.0843;-0.6561;0.7324;-0.1536;-1.2207;0.2528;0.7088;-1.2878;-1.8858;-0.0202;0.7891;1.9934;-0.2995;-2.8464;1.2645;-1.8632
"14";0.3903;-1.2558;1.0795;0.1326;-1.6341;0.4142;0.973;-1.8009;-1.833;0.1341;0.7911;2.1967;-0.239;-2.8024;1.3493;-1.5819
"15";0.5008;-1.4307;1.1508;0.2574;-1.6705;0.4508;0.9997;-1.8767;-1.7229;0.2474;0.7583;2.1621;-0.1374;-2.6142;1.3526;-1.3687
"16";0.7461;-1.9047;1.4203;0.4896;-1.9917;0.5783;1.2066;-2.2754;-1.7148;0.3957;0.7756;2.3411;-0.059;-2.6086;1.4571;-1.1763
