 MRK M_P SD_P M_XtX SD_XtX XtXst log10(1/pval)
       1   0.64922381   0.06880134 107.16230599   8.54902673 133.71656722   1.56136721
       2   0.07642468   0.01711896  98.59551047  14.51826951 107.51708735   0.24288348
       3   0.07884443   0.02335253  99.31173743  12.52853358  78.97457660   0.92349814
       4   0.38491368   0.07788740  98.65602053   7.67349603 125.62092247   1.07101375
       5   0.03241256   0.00631659  97.84698953  14.35197960  68.90053083   1.82301565
       6   0.03793237   0.00626651  96.99061065  12.69792381 101.65723094   0.06047388
       7   0.07006808   0.01579623  98.80736512  12.95359233  69.55100200   1.75300459
       8   0.10865861   0.01670331 104.13544970  12.47094315 127.68697308   1.18953377
       9   0.53826473   0.13258147  79.97902665   8.63331421  98.46174994   0.02205919
      10   0.10140048   0.03057567  98.65985491  13.00981937  78.48940497   0.95857574
      11   0.29781126   0.08852385 110.63052314  16.85407217  89.11594780   0.34472874
      12   0.08442782   0.01525505  98.97869829  12.45413106 101.80245901   0.06447653
      13   0.13178140   0.03883673 104.62664413  11.31754802 109.15955433   0.30170432
      14   0.27947002   0.08466213 110.17974451  14.64990489  97.31810015   0.05284698
      15   0.30853777   0.11281541 112.89590619  11.02311551  86.53042334   0.46660738
      16   0.17208826   0.03535814  86.73682753  15.42610140 108.93637243   0.29351465
      17   0.13125378   0.04004724 100.95897108  12.78493023  91.49177916   0.24621154
      18   0.07406492   0.02018696  99.34939990  14.89295435 103.30652030   0.10747552
      19   0.10347507   0.03281965  99.00978064  14.16335415  75.49721275   1.19207516
      20   0.09568658   0.01590409  94.86707092  12.83621809 114.63496629   0.52183982
      21   0.08911532   0.02249411  95.37484478  14.17850563  95.62991491   0.10236622
      22   0.18952287   0.04589060  95.20348937  12.48195672 111.39100915   0.38697799
      23   0.04174328   0.00999479  96.04888907  13.88640394  94.56603269   0.13619587
      24   0.28663291   0.08204658 111.23333566  11.38248565  98.57151836   0.01921684
      25   0.05250541   0.00631548  99.06840097  12.28142631  95.78416138   0.09763306
      26   0.28066849   0.05100471 105.52092194  10.29940682 132.46318215   1.48096602
      27   0.16454299   0.05306065 104.52981568  12.06491687  73.35096793   1.37886010
      28   0.25192183   0.05164587  95.65146504  10.83435017 110.23730313   0.34212154
      29   0.16026806   0.04951363 101.85422342  12.73419294  92.12841365   0.22186870
      30   0.05235652   0.01053620  96.55686788  13.23557359  75.10746079   1.22475413
      31   0.21907939   0.04657047 102.07123239  12.33212306  76.09832301   1.14272346
      32   0.07371602   0.01599306 101.92689916  13.36274842 113.93087737   0.49148100
      33   0.15908232   0.02782797 102.87504423  12.69704534 106.79113130   0.21795649
      34   0.11400653   0.03048666  99.76646740  13.25045786  89.53584194   0.32641005
      35   0.17089359   0.03293905  99.52629204  12.87423861  85.06211399   0.54313204
      36   0.14834517   0.02580953  92.73185854  13.68023219 112.16027346   0.41779705
      37   0.06833412   0.01369411  97.23509639  14.72350172  96.48459941   0.07667329
      38   0.10636106   0.02253410  99.71847646  13.80332355 116.21523964   0.59215110
      39   0.05979243   0.01111423  95.79917976  13.59188599 109.51913702   0.31502924
      40   0.10146679   0.02918393  99.19076497  12.76519808  98.38906541   0.02395199
      41   0.46276463   0.13157075  80.96767756   8.72384662 101.10712639   0.04555010
      42   0.07364561   0.01532040  97.79553217  13.68135224 114.92666117   0.53459246
      43   0.42175333   0.06993532 123.17673955   6.58726713 158.27498670   3.43193709
      44   0.13682820   0.03683847 104.46303359  13.58049693  97.27403361   0.05407690
      45   0.16382377   0.02697138 100.82084373  12.74712021 125.44523387   1.06115050
      46   0.06152982   0.01582618 101.79122005  13.00086921 101.60475164   0.05903394
      47   0.12635225   0.05342669  94.97339617  13.73769729  82.87237111   0.66778539
      48   0.07219766   0.01161152  98.38786507  12.73139024  85.45277057   0.52223393
      49   0.10584959   0.02200926  95.20076379  12.89399866  97.40868280   0.05032908
      50   0.06646472   0.01122502  97.83573735  12.56099544  89.68247416   0.32010661
      51   0.06578375   0.01204662  99.57636885  13.45708181 117.04855287   0.63042985
      52   0.08573159   0.02078672 100.25606055  13.06679189  96.13708252   0.08696370
      53   0.20005625   0.03783515  93.11121759  12.69228302 115.66117319   0.56715801
      54   0.08786504   0.02622684  98.83601379  12.80372749  79.20280599   0.90725564
      55   0.11202510   0.06335523  98.01971339  12.33584145  78.28642623   0.97347473
      56   0.18760430   0.03675994 101.53676177  13.54496066 122.98865166   0.92682421
      57   0.21533815   0.05771193  98.90950898  13.11323952  70.82573211   1.62099662
      58   0.25901578   0.04691617  99.72429114  11.05064037 126.47622218   1.11951450
      59   0.12575706   0.02006012 105.64092674  12.85674848 131.77979551   1.43780585
      60   0.04438761   0.00824715  98.64208615  13.22965052 101.33485196   0.05168249
