 MRK M_P SD_P M_XtX SD_XtX XtXst log10(1/pval)
       1   0.61741803   0.07409679 107.75410506   6.39302602 131.97856849   1.45031002
       2   0.13733114   0.03481284 101.58216034  12.05341201 109.37336198   0.30960798
       3   0.11498091   0.02731885  96.02665612  12.71747830  76.82314302   1.08487720
       4   0.38489682   0.08248401 100.83086396   8.39105463 125.65150589   1.07273419
       5   0.02828525   0.00538005  96.44436699  13.88320920  84.55828100   0.57067292
       6   0.03628622   0.00569283  95.84347783  12.72132930 100.19398350   0.02160575
       7   0.09240990   0.02259013  97.73144932  14.37965259  82.96308320   0.66236149
       8   0.11426533   0.01785231  97.35154317  12.20736037 117.48430062   0.65077440
       9   0.48852577   0.19386637  79.05982936  11.59247388  94.69029068   0.13213656
      10   0.12726838   0.04054555  99.78373726  14.59555750  72.46224781   1.46123016
      11   0.19605404   0.03540059 108.39585276  12.31896575  85.08424390   0.54193762
      12   0.06899015   0.01574186  99.42759797  12.66927759 100.68992104   0.03448210
      13   0.12930986   0.02777461  99.52633733  12.74565616 105.95140566   0.18994401
      14   0.26504315   0.04543464 121.31854253  11.12451276 102.50637707   0.08424939
      15   0.28009095   0.06488929 104.91831079  12.08452487  76.18076414   1.13605308
      16   0.18078886   0.03204088  88.48933889  12.65397804 108.83644316   0.28986779
      17   0.12822354   0.04213649 102.37471665  12.92296063  85.86811587   0.50044603
      18   0.04174543   0.00624908  95.87842042  13.27054111 101.11652218   0.04580184
      19   0.06983065   0.01947971  99.32520624  12.41241801  83.55868566   0.62731611
      20   0.09768690   0.01592131  95.66623310  13.49520880 111.91596780   0.40793076
      21   0.08542495   0.01458449  95.71078303  12.72824334 113.22153615   0.46150321
      22   0.19605298   0.04183010  96.15442573  13.03372608 112.69214875   0.43952948
      23   0.05185514   0.01135839  94.17575622  13.72173011  99.58336057   0.00616880
      24   0.17091008   0.04798177 102.15842915  12.56487297  82.04066209   0.71859722
      25   0.11520425   0.03363540 101.35379788  11.81415855  76.73661811   1.09168827
      26   0.27737139   0.05128406 104.73109424  10.96065221 128.28746713   1.22484815
      27   0.16360590   0.05196533  97.88134068  13.62001079  67.14865001   2.02083735
      28   0.22272190   0.03970105  97.28586035  12.28373239 112.14213052   0.41706184
      29   0.07720234   0.01397352  96.73546851  12.92369586  77.81961198   1.00824668
      30   0.07117197   0.01421609  96.56123924  13.78608686  81.42851595   0.75726205
      31   0.24815157   0.06684077 107.54798836  12.09831058  94.60329750   0.13497545
      32   0.07300171   0.01468405 100.89233307  13.27699635 112.10928462   0.41573183
      33   0.22477992   0.05170575 104.83633192  11.28499028 103.91378708   0.12563664
      34   0.15780208   0.04187878 101.04804880  14.20774345  91.37939216   0.25059674
      35   0.16452355   0.04394358  97.72797878  13.33964653  96.48703188   0.07660201
      36   0.15142898   0.02699722  92.38161932  12.86153174 106.23199480   0.19920617
      37   0.08381913   0.01570143  89.95854718  14.45668207  94.04955703   0.15338086
      38   0.09895414   0.01592749  96.53076399  12.98704923 117.06778323   0.63132295
      39   0.03987524   0.00658685  94.39121415  13.33599273 105.07391961   0.16161385
      40   0.09817023   0.02639098  95.28236189  12.85425698  79.29022576   0.90107762
      41   0.40550002   0.13443066  82.17243661  10.74686199 100.82680654   0.03808975
      42   0.05144710   0.00900290  95.44311183  13.04699566 111.77901982   0.40243212
      43   0.43173814   0.06424557 122.35726630   6.24045674 153.34015948   3.01430366
      44   0.21283194   0.05958022 106.10515968  12.00963666  98.47344070   0.02175554
      45   0.20786057   0.03625021 100.75626594  11.89821556 123.20904405   0.93859977
      46   0.08373697   0.02671101  99.58651695  13.74960078  95.73146589   0.09924524
      47   0.08514360   0.02614046  98.50392822  11.35550461  98.83567469   0.01245604
      48   0.08653199   0.02655200  99.23232557  11.83100444  86.96501061   0.44499743
      49   0.12725846   0.03192761  95.65050167  14.18077438  91.67435916   0.23914403
      50   0.07755890   0.01805360  98.77864399  12.84498141  87.10294280   0.43823580
      51   0.05601158   0.00864473  98.26033926  13.42723353 116.73591698   0.61597193
      52   0.09333731   0.02213319  96.72204626  13.35684851  86.82161695   0.45207622
      53   0.20527408   0.04007596  94.11110597  12.60125962 113.41976417   0.46981907
      54   0.12442027   0.04571591  95.25112146  13.07763448  88.84684181   0.35668006
      55   0.11608114   0.03197412 101.81305907  12.16065584  85.62735662   0.51302184
      56   0.17269229   0.02807180 101.24231954  12.67181466 121.26024515   0.83638325
      57   0.14427881   0.03783103 101.89477025  13.74041197  63.98196080   2.41486043
      58   0.25138269   0.04761626  98.50385174  11.99264615 122.08302289   0.87901264
      59   0.13299364   0.02009494 102.43580238  11.82385279 124.20986507   0.99275957
      60   0.05787733   0.01222394  98.67751396  13.07447499 103.78787363   0.12183316
      61   0.14799735   0.03242797 104.17823703  12.34241913  77.22719658   1.05340533
      62   0.71855340   0.06643527  88.76745922  10.07218413 109.90186179   0.32938780
      63   0.04423007   0.00664591  98.54998360  13.14810502 101.35476941   0.05222190
      64   0.34833690   0.07048690 103.36315565   8.99070653 127.50717084   1.17903527
      65   0.14326676   0.03127579 100.23606542  14.01036342  96.27773784   0.08277312
      66   0.26023392   0.05588814  98.82125572  12.17621085 118.67993600   0.70774763
      67   0.11560524   0.02546145 102.61572982  12.31868121  73.56455815   1.35951134
      68   0.07169948   0.02633890  93.81457099  13.71304505  88.05944615   0.39261207
      69   0.08941665   0.01451032  95.62246191  13.53443968 111.63696885   0.39675290
      70   0.03703352   0.00681595  95.15786759  13.81086103 112.74225803   0.44159476
      71   0.14410725   0.02231390  94.69128354  12.96892901 110.85792010   0.36604742
      72   0.20787926   0.09326825 110.38113858  13.83916596  85.61472927   0.51368551
      73   0.19895852   0.06082988 101.56563132  14.63189279  71.61711599   1.54240398
      74   0.06605672   0.01166134  96.88607382  12.02127048  99.51524059   0.00447516
      75   0.10602064   0.01763093  97.03807964  13.21504838 114.19850764   0.50294999
      76   0.09607139   0.02867695  97.47631226  12.90919322  88.78755581   0.35933537
      77   0.17516077   0.05890429 101.16673780  13.02762342  78.82928469   0.93392399
      78   0.55750876   0.10910961  88.41053294   7.01825404 109.44209457   0.31216081
      79   0.18346516   0.04193947  96.95070045  11.30597513  95.70083924   0.10018454
      80   0.11327046   0.02143861  93.47171313  12.55973311 105.23062732   0.16660262
      81   0.03288347   0.00621570 101.29452566  13.35326406 106.08837605   0.19445306
      82   0.30088108   0.11049681  82.23090183  13.08965810 100.21548717   0.02215776
      83   0.08335700   0.03223033  96.89107898  13.18269579  86.99699369   0.44342543
      84   0.32259965   0.05935995 103.54004369  10.81721548 128.04382969   1.21047343
      85   0.07045909   0.01353626 103.04551502  12.24706826  78.69440938   0.94366243
      86   0.12915113   0.03208365 101.01320904  13.74833403  97.37753751   0.05119325
      87   0.37620213   0.11832260  83.46340538  10.59539239 103.13406419   0.10240199
      88   0.08785882   0.01616036  98.88854963  13.22688120 104.63060395   0.14766735
      89   0.07483931   0.01260419 100.47850400  12.98875599  96.70964963   0.07012204
      90   0.07929611   0.02407290  98.07264138  12.40362637  80.40130863   0.82462075
      91   0.11824859   0.02755453  94.69570804  13.08787221  96.93801280   0.06356402
      92   0.06196944   0.01004405  96.35798894  13.11984309 108.52325347   0.27851852
      93   0.07372397   0.01550080  96.74840784  12.33070472 107.93250016   0.25744317
      94   0.09121641   0.02331883 100.39416430  11.30172085 100.19394559   0.02160478
      95   0.18407810   0.04612517  94.91904882  12.21331005 106.10463334   0.19498981
      96   0.23347516   0.05122773  94.05883132  12.22696133 107.59265066   0.24551587
      97   0.88055977   0.02510105  86.68467545  11.98858306 100.36230056   0.02594179
      98   0.11769355   0.01894391 101.52274865  12.69845644 122.51496311   0.90170054
      99   0.07344402   0.01789511 104.22111291  12.46289647  81.43379645   0.75692385
     100   0.21645015   0.04229736 100.27640959  10.62874743 100.61559823   0.03253303
     101   0.12959169   0.02062055  96.79748348  12.48598122 114.17116778   0.50177439
     102   0.06257377   0.01157601  99.77821448  11.90572518  99.44892669   0.00283190
     103   0.05162225   0.00597764  97.44678046  11.78256250 118.08565689   0.67921946
     104   0.15202915   0.03041014  99.09934441  12.84725041 109.68453310   0.32121209
     105   0.08491365   0.02500825 100.32068349  15.10086942  84.61826908   0.56735873
     106   0.74796205   0.06315108  90.58914611  11.57097708 110.50582369   0.35241516
     107   0.17438811   0.03257048  98.64357538  12.86200956  92.71100463   0.20032228
     108   0.15547206   0.03193336 103.22773370  13.61490174 104.41201071   0.14088100
     109   0.11497980   0.02629107  99.62560156  12.61303621 103.49693112   0.11312041
     110   0.04217365   0.00811422  98.23236646  12.98981242  97.86422203   0.03787520
     111   0.09535872   0.02464781  97.83208465  13.03163489  79.43710710   0.89075128
     112   0.10870770   0.02578487 102.38237684  12.31352300  78.47868370   0.95935938
     113   0.14866788   0.04750777 103.52602639  12.30831578  85.84679941   0.50155352
     114   0.03045190   0.00742561  97.52192103  13.18783483  95.45918078   0.10765542
     115   0.15749045   0.03178329  99.41453196  12.72305712  90.82278329   0.27270964
     116   0.08317994   0.01833010 100.98332211  14.18136885 109.87743475   0.32846596
     117   0.25895106   0.06233724 110.36167779  13.20606237  92.80708969   0.19683466
     118   0.06322961   0.02418611  99.68422803  12.17612467  81.22871526   0.77011860
     119   0.09277016   0.02048502  98.36210354  13.14212262 103.33159897   0.10821641
     120   0.04436000   0.00875739 100.38711224  14.04710723  86.65330272   0.46044985
     121   0.09926146   0.02515215  96.79093407  13.97812335  84.14516424   0.59375660
     122   0.09728020   0.01988205  92.88479477  12.91387008  95.63615732   0.10217383
     123   0.09262326   0.02886125  96.53991345  13.22757161  75.15915253   1.22038894
     124   0.12114700   0.02974418  99.04413654  13.11236690  89.43458223   0.33079122
     125   0.21612763   0.05027692  85.54548086  14.30566723 106.37481621   0.20395845
     126   0.10423705   0.02762748 100.96792701  13.93065217  88.71415180   0.36263423
     127   0.70005192   0.07145410  93.99564569   8.99440766 117.99919113   0.67510327
     128   0.08355114   0.01186804  97.73197728  11.55850176 117.23398178   0.63905983
     129   0.12613980   0.02062318 101.02800840  12.67759654 104.03734707   0.12938831
     130   0.04049792   0.00797574  95.05750890  14.28057154  98.25140730   0.02756026
     131   0.02946744   0.00911466  98.98610921  15.58092584  96.97017514   0.06264760
     132   0.05941297   0.01100391  95.11327596  13.86978997  98.29232613   0.02648448
     133   0.12312664   0.02148978  96.26405235  12.99781184 107.77443114   0.25187770
     134   0.10824846   0.01881942 102.95954646  13.17979760 113.81455998   0.48652339
     135   0.21363932   0.03774303  87.65059741  12.06579134 109.11453817   0.30004747
     136   0.08870242   0.01576612 101.14759591  12.88461267  93.61326981   0.16829553
     137   0.06912085   0.01278725 104.55429544  12.39116164  80.64304853   0.80848527
     138   0.56770211   0.07872404 108.74524037   4.95632560 137.30151632   1.80003426
     139   0.20264781   0.06087065 104.97768725  11.94519586  98.54207124   0.01997744
     140   0.11897137   0.02564185  95.52261161  13.57159967 109.63713124   0.31943665
     141   0.31929500   0.06894093  91.61447150  11.89335157 113.54621032   0.47514857
     142   0.14897155   0.04198536  99.75164115  13.16710355  94.94024162   0.12405842
