 MRK M_P SD_P M_XtX SD_XtX XtXst log10(1/pval)
       1   0.59217869   0.07850568  94.80545209   6.55063819 124.10995688   0.98730266
       2   0.14715194   0.02914598 102.60815286  12.57085142 101.95046991   0.06858288
       3   0.05823355   0.01713980 100.53312124  12.98313308  82.39866808   0.69648488
       4   0.42680698   0.07981925 102.36949996   8.15259171 137.44889928   1.81011732
       5   0.03036755   0.00964340  97.12016788  13.73394364  68.49613704   1.86746648
       6   0.03784922   0.00579964  99.46728697  14.11050876 115.90996986   0.57833544
       7   0.12652401   0.04384194 102.83304877  13.05689530  75.82211842   1.16524328
       8   0.10990931   0.01763368 100.84618502  13.29303048 130.15945589   1.33740513
       9   0.48434927   0.11304544  79.77513859   7.68550353 103.99054292   0.12796494
      10   0.14069986   0.04850611  96.93477170  12.69009456  69.49330224   1.75914148
      11   0.23094852   0.06693789 106.71004263  14.63832958  81.78079931   0.73487813
      12   0.12439157   0.03512043  98.23912033  13.74247576 101.84383134   0.06562160
      13   0.13083376   0.03940757 100.83917691  13.69261991 104.86684210   0.15506869
      14   0.43822426   0.11721770  99.88817715   8.70761269  82.27803225   0.70389511
      15   0.15462208   0.03742432 104.03962100  13.22180461 108.78312772   0.28792715
      16   0.16738330   0.03248631  89.79095748  14.57989395 119.80800206   0.76303574
      17   0.08599286   0.02137066  97.53318025  13.23684062  74.13304990   1.30884326
      18   0.06527797   0.01116640  98.53748034  13.76644063 113.49052635   0.47279918
      19   0.12799299   0.03565894  96.56070672  13.59402820  73.41335500   1.37319081
      20   0.10366085   0.01593128  96.12857891  13.21426173 124.28850403   0.99706259
      21   0.05514928   0.01616057  98.63564834  13.40130683  92.72489788   0.19981684
      22   0.18497476   0.04153021 101.66931318  13.99131007 121.19464887   0.83301790
      23   0.04337977   0.00852698 100.18814758  14.45437150 106.01075571   0.19189493
      24   0.24508719   0.07154537 105.03433989  12.12307983  82.51488702   0.68938507
      25   0.08271949   0.01846909  96.32619555  14.00110306  63.92321004   2.42263884
      26   0.29949112   0.04843411 115.69055749   9.63800975 152.77960512   2.96810036
      27   0.20499250   0.05481948 103.65862968  12.51982497  71.66624291   1.53760816
      28   0.35667875   0.06880992 108.40067046  13.58033785 113.18021748   0.45977588
      29   0.09129430   0.02320414  94.26666606  13.73986073  67.41520313   1.98984646
      30   0.06757361   0.01203155 101.65486942  12.34501253  91.67112990   0.23926842
      31   0.22959801   0.08835934 105.66076765  11.99724063  74.91876586   1.24076993
      32   0.13388653   0.02849575 101.42041951  12.85301045 117.50534221   0.65176250
      33   0.18108659   0.04217726 110.05615027  12.08697159 106.72834579   0.21583155
      34   0.08513365   0.01924659 100.75027261  13.25830348 100.74234453   0.03586099
      35   0.25018567   0.06379116 106.65713253  11.33371997  99.97681462   0.01606290
      36   0.17221152   0.03321741  94.30033332  13.49233932 119.12662238   0.72946297
      37   0.09101682   0.01923623  95.97050833  13.29435182  87.24879449   0.43113643
      38   0.10358438   0.01728441  93.06951696  13.40968142 111.87252354   0.40618393
      39   0.03665124   0.00587475  95.44920749  13.08672520 117.48101670   0.65062024
      40   0.09282353   0.03188171  94.97122025  13.83629010  66.72456792   2.07081885
      41   0.53248576   0.11664909  75.59246325   7.63007465  99.72736790   0.00976800
      42   0.05414563   0.01154318 101.64338878  13.10938839 125.50618364   1.06456840
      43   0.49888670   0.05537042 133.52773825   3.32988353 180.84743033   5.56789398
      44   0.24322040   0.05780040 108.04156137  13.04665974 102.64966237   0.08834988
      45   0.19530623   0.03467679  98.65373921  12.44172801 130.93710555   1.38524912
      46   0.06417808   0.01393842 100.13770676  12.98185417 101.25595072   0.04955048
      47   0.11841413   0.03960880 100.91063192  14.55401554  88.04990410   0.39305642
      48   0.12426118   0.03322719 103.91021687  14.40631084 100.81198151   0.03769791
      49   0.12724553   0.02266975  99.42130716  13.41733380  85.30875743   0.52989189
      50   0.07592006   0.02609308 101.13505764  13.57485027  87.27111754   0.43005441
      51   0.06542251   0.01175487  97.68211187  14.01570143 121.73432716   0.86085187
      52   0.08610968   0.02064088  99.28918272  13.58012011  92.98780826   0.19032518
      53   0.21620078   0.04242490  99.77889994  12.54325760 130.93698347   1.38524156
      54   0.09346072   0.01878354  99.95306010  13.35115104  80.63897309   0.80875584
