 MRK M_P SD_P M_XtX SD_XtX XtXst log10(1/pval)
       1   0.59752277   0.06690189  99.28762593   5.76459896 134.05875972   1.58359504
       2   0.13336747   0.04376071  98.60762395  12.20285841  98.99546578   0.00842031
       3   0.10701657   0.02362471 101.61960291  14.89388719  88.08964895   0.39120702
       4   0.40270586   0.06337675 105.93886933   8.53272272 143.38353142   2.23330384
       5   0.02301966   0.01141392  97.96016747  13.82940229  61.27095372   2.79276112
       6   0.05246565   0.01079133  99.66720861  14.29107046 106.05850968   0.19346786
       7   0.08290683   0.04018431 103.07340565  13.54866879  81.34794370   0.76243251
       8   0.10988900   0.01909157  98.55937166  13.39496199 126.60089147   1.12665078
       9   0.49368830   0.09870066  83.96003948   7.38683883 108.48979101   0.27731313
      10   0.15988962   0.03834910  94.66091737  11.92834859  70.64877707   1.63891823
      11   0.22851267   0.04846703 103.99599373  12.00566214  71.90220970   1.51470650
      12   0.11748445   0.02358892 103.29113424  13.04121940 104.93685810   0.15727571
      13   0.17277048   0.05297854 103.03580611  11.91819538 108.16596737   0.26572028
      14   0.41096394   0.07928919 110.38213397  11.66058816  81.29834666   0.76562472
      15   0.35787498   0.06518497 107.12684963  11.97506230  80.71254434   0.80387915
      16   0.25758804   0.04891752  84.56538726  11.50784048 113.49307116   0.47290647
      17   0.12331274   0.03769937  94.11384915  13.58599346  72.74825100   1.43439172
      18   0.08112056   0.01746139  92.77952986  13.49142517  96.64091987   0.07211343
      19   0.09950447   0.01872979 100.02449443  12.60138560  68.03180983   1.91939462
      20   0.10182060   0.01701246  99.71905714  12.93934919 123.55663140   0.95728238
      21   0.06750561   0.01070791 100.33306345  12.22489177 100.73545491   0.03567958
      22   0.19412760   0.03486666 104.07354364  13.46902700 129.36304108   1.28906509
      23   0.05429292   0.01400391  97.56685404  12.97294948 105.59434825   0.17829999
      24   0.24659195   0.07654778 109.35950067  14.63594713  83.09197925   0.65469394
      25   0.12500767   0.03229531 100.65538689  12.79610053  98.07986105   0.03210003
      26   0.33851277   0.05720727 109.24608754   8.72726754 144.63337601   2.32658710
      27   0.22255057   0.06196874  97.25319387  12.47461516  84.18587994   0.59146127
      28   0.49773480   0.08794602  95.57166843   9.97950211  97.95789469   0.03535707
      29   0.16356084   0.03918105  96.88646973  12.90501723  82.15602990   0.71143148
      30   0.06001808   0.02387054  94.32519121  13.92289698  74.15402868   1.30699639
      31   0.27017763   0.11728323 101.95159419  13.25083084  74.76544271   1.25387768
      32   0.12611398   0.03218138 107.66265960  13.35391941 126.11170301   1.09874609
      33   0.15819511   0.04705779 110.18204413  12.73974306 103.54713551   0.11461631
      34   0.15922450   0.05600900  92.98215266  12.96410264  79.20169242   0.90733449
      35   0.20860903   0.03905482 107.32717553  14.46184385  82.83070516   0.67028442
      36   0.12496921   0.02215707  95.11760577  14.05984341 119.17494982   0.73182634
      37   0.08203925   0.01762624  93.96445865  13.21759164  82.38544939   0.69729484
      38   0.08655744   0.01487643 102.19921805  13.07555018 120.34111638   0.78967885
      39   0.05899055   0.01086423  94.95631384  13.71624925 115.70401693   0.56907753
      40   0.08424545   0.02657651  99.44921858  13.60023454  73.67384320   1.34967764
      41   0.63062986   0.08387399  82.12158327   7.53825665 110.45227062   0.35035508
      42   0.06015615   0.00959284 103.19505676  13.90422852 123.91041930   0.97643742
      43   0.52137226   0.05975516 126.07024413   7.42498514 174.30964292   4.91390566
      44   0.35960614   0.09875871  96.50536454  10.68803624  96.28365698   0.08259753
      45   0.21973991   0.03716633  99.55353588  11.08800562 133.71514513   1.56127508
      46   0.08929180   0.02840427  96.28881160  12.96321269  97.53558050   0.04682498
      47   0.08326264   0.01720864  96.91739605  12.84105008  73.13316932   1.39876745
      48   0.11248638   0.04665218  98.60950418  12.88514063  79.28345409   0.90155532
      49   0.14629407   0.03542829  99.27754334  14.13748714  88.24138527   0.38418071
      50   0.07387131   0.02000197  94.55965512  13.36562562  88.24962990   0.38380048
      51   0.07444279   0.01393599 102.34483834  13.85504127 127.29679308   1.16679575
      52   0.06864276   0.01449342  98.52435596  14.95178155  70.90531615   1.61297833
      53   0.25264587   0.04743676  99.88087554  11.31740960 130.73892530   1.37299628
      54   0.14354636   0.04025326  91.80553336  14.71455347  75.06707713   1.22817104
      55   0.16158697   0.04631942  98.11912703  12.14194245  82.02066473   0.71984318
      56   0.19129329   0.03240725 108.22084201  11.99781892 139.40320435   1.94580197
      57   0.28448555   0.12368503  94.32306213  12.22630422  53.53809014   4.11187609
      58   0.29223150   0.05776928  96.27975913  11.06139343 130.09825241   1.33366655
      59   0.11401190   0.01912327 106.72110924  13.50076559 136.73028599   1.76115418
      60   0.06779440   0.01649591  97.34169129  13.52472397  86.06133902   0.49045980
      61   0.20762724   0.07552613 111.99033399  13.52312180  90.50072381   0.28580785
      62   0.73486434   0.04798829 102.30761756   9.78906078 137.06699212   1.78403312
      63   0.06759599   0.01240954  94.72847447  13.76067663 101.89035934   0.06691191
      64   0.29459007   0.05377218 106.45641288  10.82052782 143.70493945   2.25715735
      65   0.18580983   0.04763747  95.96303988  12.34601134  96.17896037   0.08571237
      66   0.33494017   0.07639621  86.03630366  11.09080049 114.83228431   0.53045517
      67   0.10349118   0.03478920  99.70540840  13.19738875  71.49766109   1.55410549
      68   0.09732943   0.02697537  96.51868526  14.12038681  91.89478357   0.23070426
      69   0.10717637   0.02031122  95.08009559  13.34285919 116.88074749   0.62265523
      70   0.04596514   0.00891010  96.21003012  14.03760592 105.73468667   0.18285756
      71   0.24166883   0.04167502 100.39035556   9.99646961 129.73958397   1.31183675
      72   0.14907125   0.03870256  98.91947616  13.39388099  67.13079722   2.02292467
      73   0.21917377   0.08433335  99.18985085  13.40219595  62.20269605   2.65842059
      74   0.13365666   0.04795842  97.64780763  13.22461290  84.19394386   0.59100719
      75   0.11134289   0.01932521 104.94130440  12.35619207 127.46579619   1.17662438
      76   0.11514984   0.03577158  97.05328706  13.20109177  88.12492898   0.38956851
      77   0.13034102   0.02424734  97.18311591  12.58524533  74.37004732   1.28807317
      78   0.58234165   0.08125226  88.39480536   6.14540533 120.96673118   0.82136317
      79   0.19045154   0.07018170 108.11120765  13.31084514  92.35706439   0.21333001
      80   0.12555780   0.02264951 102.88079224  12.89322159 110.41191257   0.34880496
      81   0.02842121   0.00709395  99.48437409  13.51590472  76.33878180   1.12333332
      82   0.25287445   0.04853274  92.17720222  11.87439220 121.14809452   0.83063247
      83   0.12837153   0.02939584  97.86513767  12.99103082  72.30870509   1.47576940
      84   0.35213973   0.05617542 108.45407629   9.18044321 147.33829213   2.53324837
      85   0.07853393   0.02510714  99.34942138  13.47452386  58.69830073   3.18947344
      86   0.11940667   0.02202998  98.87520658  12.90279490  91.65164910   0.24001932
      87   0.68458364   0.06776385  88.43616056   9.25422940 117.37056753   0.64544266
      88   0.07050395   0.02299916 101.98687711  13.88719760  78.27075680   0.97463042
      89   0.12402982   0.02834300  98.82323448  12.68330106  97.01033456   0.06150582
      90   0.13978188   0.04011297  90.59969071  13.61981056  71.92391722   1.51261076
      91   0.12518476   0.02422851  96.15167071  13.32473754 104.61680849   0.14723729
      92   0.05478530   0.00897602  95.78311699  13.99558941 107.85437227   0.25468846
      93   0.16342766   0.05090470  99.42251913  13.40745466  75.03914758   1.23053760
      94   0.13736967   0.03925508  97.51118510  14.21182724  97.72535085   0.04163509
      95   0.19295093   0.03428104 109.62141442  12.54437082 121.33805683   0.84038168
      96   0.38445837   0.08239437 101.86183661  12.23070415 121.29670913   0.83825612
      97   0.86522995   0.04014038  87.08496422  12.17298471 103.24142604   0.10555613
      98   0.13085636   0.02117847 106.59415869  13.35474885 136.60999545   1.75300743
      99   0.09942326   0.02187534  99.97634915  12.50475099  69.62313250   1.74535280
     100   0.35998396   0.10775425 110.28292056   9.78972471  99.87569730   0.01350192
     101   0.14188378   0.02731593  92.88100009  13.28870655 108.89781916   0.29210620
     102   0.06605980   0.01768013 100.36146445  13.52912687  91.66475092   0.23951422
     103   0.06180848   0.00992925  92.57306954  12.93629364 113.42266980   0.46994132
     104   0.19143730   0.05302078  98.90594082  12.66110224 120.73623221   0.80963711
     105   0.08143550   0.01934976  96.65790190  13.52383358  74.65539766   1.26333785
     106   0.59501732   0.08608370  86.71447865   7.14746598 119.12620573   0.72944260
     107   0.17761531   0.04728331 104.04413802  12.84201694  86.51439911   0.46741312
     108   0.31087547   0.07658422 114.51151417  10.48353875 123.06251825   0.93076480
     109   0.12235798   0.03115818 102.44050783  13.48042866 102.47501776   0.08335538
     110   0.04300146   0.00878985  96.94396530  12.46298111  93.03800815   0.18852854
     111   0.10642406   0.02358783  96.76062980  14.31414490  76.69982502   1.09459225
     112   0.19799649   0.06027576  93.52316144  13.16986592  99.11061259   0.00553716
     113   0.11836926   0.02506211 103.45146478  12.98982125  68.14565992   1.90657347
     114   0.03917113   0.01078763  99.42565026  12.87493052  79.80673008   0.86506239
     115   0.12852345   0.03724980  99.62121163  13.99827627  86.13684850   0.48658293
     116   0.20100018   0.05342928 101.62095975  11.53380020  89.25385643   0.33866815
     117   0.34189904   0.06498105 105.50705768  14.87998532  69.67976147   1.73936095
     118   0.05176851   0.01527110 100.86284755  12.83080499  73.21622914   1.39115437
     119   0.08550520   0.01413481  98.55295366  12.73672888  95.82637338   0.09634522
     120   0.03677024   0.01338738  98.32728182  13.93153735  74.33211804   1.29138339
     121   0.11198320   0.02031376  94.57896718  13.05169661  89.69965044   0.31937138
     122   0.12366431   0.02259323  96.46383694  12.78478592  92.47311864   0.20903691
     123   0.15889762   0.04868086  89.31576929  13.62701726  64.96475721   2.28733193
     124   0.08146121   0.02785819 101.44696810  13.21904956  75.86648265   1.16160822
     125   0.37105253   0.09326724  73.88106944  10.87793295  99.24662384   0.00215845
     126   0.15451962   0.04468402 100.35424437  13.62058515  89.94361629   0.30899953
     127   0.65441334   0.07123042 101.76665152   8.21072393 138.77247187   1.90161026
     128   0.10043703   0.01903372  98.42408877  13.64574014 103.75413445   0.12081736
     129   0.14887329   0.04277202 101.49382321  13.97084529  87.52136936   0.41800702
     130   0.05352099   0.01130310  96.35093254  13.71826493  87.58349164   0.41503978
     131   0.03377267   0.00697244  97.66801498  14.22722850  96.44112418   0.07794904
     132   0.05653551   0.01431949  99.17428519  12.36153622 107.52961912   0.24331956
     133   0.14827333   0.03161572 102.53636651  12.62936029 118.17522822   0.68349276
     134   0.15182789   0.03012156  87.05817537  13.30167590 106.16134518   0.19686477
     135   0.73804107   0.05781950  89.15116795  10.82622110 117.97187560   0.67380475
     136   0.08480797   0.01511177 100.54441373  13.94067348  96.71228484   0.07004585
     137   0.18596633   0.06066481  97.40552606  14.62639428  68.57742587   1.85847366
     138   0.52725419   0.07374733 101.78898169   5.07636941 139.76390710   1.97124456
     139   0.35188356   0.10357125 112.45312454  10.43211345  89.86395199   0.31237178
     140   0.27160410   0.06635386  88.68918476  12.27388661 108.57745883   0.28047407
