 MRK M_P SD_P M_XtX SD_XtX XtXst log10(1/pval)
       1   0.65724234   0.06234238 104.16194771   6.63980831 127.81641753   1.19711349
       2   0.12244633   0.02820723 100.17350711  13.29924582 101.68976912   0.06136839
       3   0.05754845   0.01306967  97.65270326  13.46385633  96.84424713   0.06624585
       4   0.38378819   0.07595812 100.60708055   8.80741693 124.91985417   1.03185848
       5   0.03326592   0.01135161  97.18984428  13.80109699  77.70851008   1.01662737
       6   0.03694908   0.00537610  97.20117086  12.11116045 112.71217024   0.44035431
       7   0.08163744   0.02051205 103.77512357  13.47871949  96.24214283   0.08383031
       8   0.11738572   0.01792601 100.17756324  12.69239763 122.23104576   0.88676379
       9   0.49033443   0.16070169  80.13679670  10.24972739  95.64579496   0.10187695
      10   0.21488924   0.07249162 103.55123267  13.01386025  82.44252053   0.69380143
      11   0.27245878   0.05857289 116.98087612  14.04594974  98.88194547   0.01128324
      12   0.11146831   0.03503253 101.59851745  13.38379636 101.44754055   0.05474083
      13   0.10031896   0.01679643 100.60089026  12.57038615  93.59372350   0.16897236
      14   0.25905421   0.08861486 112.95284658  15.04937729 102.30956394   0.07865880
      15   0.30559240   0.05465178 119.81251227  12.01913346 108.60082369   0.28131812
      16   0.19035191   0.03695199  88.50885206  12.95752203 108.76102781   0.28712376
      17   0.11794447   0.02329012  96.12644039  12.93696305  92.64678186   0.20266373
      18   0.04782997   0.00684042  94.25451044  12.23402481 111.35614698   0.38559852
      19   0.09208090   0.02505816  97.29698732  12.55867568  83.27612153   0.64382004
      20   0.09141044   0.01563004  93.44421517  12.53866302 112.93172970   0.44943165
      21   0.11037998   0.01751830  99.83987563  11.39868040 110.83542252   0.36517180
      22   0.16204551   0.03245607  94.34062466  13.52535127 110.78246216   0.36311301
      23   0.03444122   0.00530524  96.56544703  13.14799050 107.15354449   0.23031839
      24   0.25267262   0.07362048 106.56492038  11.47850962  90.13079168   0.30113156
      25   0.07656526   0.01154993 102.93867859  12.80610383  80.30549512   0.83106490
      26   0.24199761   0.04695919 101.35201369  12.26139075 123.05824903   0.93053688
      27   0.21208272   0.06047233 107.54497056  11.49431977  75.05954875   1.22880867
      28   0.31903975   0.07507562  98.86513934  11.22653804 103.38582106   0.10982096
      29   0.12534280   0.03209259  95.25984153  13.23954159  84.26682762   0.58691107
      30   0.09063861   0.02641639  96.91843278  12.89444752  73.81437866   1.33709754
      31   0.24972701   0.09016297 106.43950868  11.46865595  95.96437303   0.09215724
      32   0.08367754   0.01675955 102.40468436  12.84905739 111.26743382   0.38209494
      33   0.32048685   0.10469889 110.29891574  14.46133873 107.79288096   0.25252570
      34   0.12691596   0.04592842 102.20469501  13.57015810  73.93127673   1.32668936
      35   0.21088914   0.05694594 104.08616475  10.93500309  97.65626476   0.04351751
      36   0.13878567   0.02288634  91.94765012  12.10338544 109.55779265   0.31647123
      37   0.07181916   0.02266835  96.28685872  11.63041465 105.23072002   0.16660558
      38   0.08807200   0.01419368  96.91851045  13.41661823 111.34497522   0.38515677
      39   0.04761375   0.00804578  94.79614835  13.32263073 106.03286624   0.19262286
      40   0.08305644   0.02230716  97.21006203  11.52267748  79.54263415   0.88337388
      41   0.39932628   0.12952641  82.65293430  10.68000245 100.14118687   0.02025286
      42   0.05574340   0.00919567  97.53527145  12.81143600 115.73372237   0.57040970
      43   0.42095196   0.05789408 121.60221231   5.83400858 152.48464504   2.94389193
      44   0.18468518   0.03959852 101.02659460  12.39060626  94.01341078   0.15460260
      45   0.18920761   0.03566169  99.51295427  13.26107983 122.07064181   0.87836544
      46   0.06870984   0.01475814  98.19430072  12.33122464  96.61878527   0.07275651
      47   0.07776482   0.01867348  96.64220665  13.77127934  71.61913280   1.54220691
      48   0.07337844   0.01197629 100.47486613  13.50186797 103.05993548   0.10023260
      49   0.14328559   0.03546798  98.49113142  13.24109983  96.80441014   0.06738983
      50   0.08318259   0.02063277  98.03517601  13.45446364  99.57078268   0.00585565
      51   0.07107847   0.01244785  97.02870820  13.44385179 114.92292773   0.53442859
      52   0.08693673   0.02589061  96.16380690  13.40151363  92.25282200   0.21720955
      53   0.22937517   0.04153019  93.81775762  12.06385648 113.74582001   0.48360131
      54   0.10059354   0.02768265  98.62401855  12.63783374  77.91834756   1.00083281
      55   0.10107172   0.02648387  99.88400292  14.42597907  80.29458265   0.83180061
      56   0.19434921   0.03520631  97.57956997  12.24234162 118.83127483   0.71507874
      57   0.10692100   0.03577306 102.00484694  12.72022807  84.57918897   0.56951673
      58   0.25927712   0.04471657  98.35982788  11.22731375 122.17992357   0.88408399
      59   0.13218166   0.02037600 101.01165833  11.80244734 124.78591272   1.02443954
      60   0.04784573   0.00971662  98.67812957  13.61970336  88.36373519   0.37855456
      61   0.14770440   0.03141552 104.11652684  12.87763405  93.05122909   0.18805620
      62   0.68625337   0.08407179  92.81300913   9.43968399 114.44431580   0.51356020
      63   0.04423754   0.00920586  99.25355700  14.78548379 101.87016168   0.06635146
      64   0.32545479   0.07422768 100.38307742  11.29685594 123.02073382   0.92853496
      65   0.15185121   0.03885958  98.79843531  13.84898141  98.12665053   0.03085703
      66   0.22701666   0.04939081  94.94775071  12.51278310 114.10401787   0.49889082
      67   0.09923466   0.02351445 100.23540409  13.62447770  74.55658380   1.27186990
      68   0.05233982   0.01083886  94.85750873  12.90693082  90.76880852   0.27488918
      69   0.08631081   0.01429739  94.27968734  13.35957136 112.74169836   0.44157168
      70   0.03857503   0.00815712 100.01788056  15.07509994 106.61419677   0.21198084
      71   0.16616304   0.03075054  91.71894648  13.10370680 106.65288930   0.21328427
      72   0.13006413   0.03322197 101.34980557  12.73883898  95.61318426   0.10288219
      73   0.21812357   0.06872494 108.29456289  13.10140925  81.41165157   0.75834269
      74   0.07449444   0.01615751 101.23556817  13.19059432  83.74757217   0.61640570
      75   0.11739691   0.02117933  95.18913942  13.75741979 112.01361762   0.41186558
      76   0.09717271   0.02755188 102.96605062  14.78600011  92.98331046   0.19048640
      77   0.18267074   0.04315084 106.36955781  15.56587670  63.18897925   2.52135151
      78   0.53485567   0.10518907  89.76713935   6.29497799 111.02154134   0.37243444
      79   0.16983649   0.03729710  98.17345665  11.25274651  92.24648661   0.21744605
      80   0.09365330   0.01875336  95.17171887  14.26080122 103.84258065   0.12348327
      81   0.05701237   0.01196905  98.02837799  12.82994700  87.39196324   0.42421788
      82   0.35751335   0.09383213  82.45130144  11.02272227 101.71448423   0.06204871
      83   0.11438002   0.03942985 103.15054844  12.72158208  94.66601640   0.13292729
      84   0.31312961   0.05473073 102.07921907   9.37201912 125.99246070   1.09198383
      85   0.05795493   0.01630790  95.69614366  12.78666970  88.77783674   0.35977144
      86   0.11671676   0.02169998  99.26618084  12.62867963  91.27194393   0.25481414
      87   0.44920992   0.14316689  82.58430052   9.00079800 101.55785821   0.05775016
      88   0.08749207   0.02860034  95.81563398  13.15585418  74.46335206   1.27995251
      89   0.09837128   0.01679981 103.78178407  13.83608091  94.83799736   0.12734878
      90   0.06445413   0.01336081  97.96161779  12.55733564  83.48591426   0.63154555
      91   0.11361506   0.02704903 100.46072224  13.28083692 105.23128168   0.16662351
      92   0.07855266   0.01388913  99.24851907  13.48201388 109.93981988   0.33082175
      93   0.12606271   0.03091424 101.59618882  13.22792412  74.11320936   1.31059142
      94   0.11894045   0.02672794  98.29661046  12.83856771 102.04759638   0.07129234
      95   0.18105308   0.03847392  98.69608888  13.50384365 110.48659019   0.35167489
      96   0.28722614   0.07288554  98.53530225  12.28806299 107.04105939   0.22646398
      97   0.88299262   0.02527083  92.30757964  11.37459593 108.01498670   0.26035981
      98   0.12051680   0.02050168 102.17643677  13.26536928 121.28533326   0.83767167
      99   0.05094867   0.01953208  99.70609530  13.40893972  68.89735648   1.82336179
     100   0.25504976   0.06945223 104.93486264  11.85111034  97.63688912   0.04404688
     101   0.11803989   0.01953963  97.11087830  12.99788793 110.68068380   0.35916618
     102   0.08348591   0.01881685 101.13736561  13.29317977  97.86687865   0.03780358
     103   0.04225043   0.00623718  92.35929331  13.05783395 116.01292902   0.58298264
     104   0.15326943   0.02824737  97.67479314  13.19060955 112.55283098   0.43380352
     105   0.11727381   0.03639856 103.19317607  10.99235829  86.86998925   0.44968262
     106   0.70487417   0.08193347  90.24344581  10.69781311 110.69460813   0.35970539
     107   0.11824131   0.01844456 103.98792525  11.63564870  95.48974269   0.10670475
     108   0.16432054   0.03105678 103.30122366  12.31260801 110.62941028   0.35718269
     109   0.14481240   0.02693659 100.75081065  13.55158465 105.66237391   0.18050609
     110   0.03306115   0.00554055  99.10580776  13.26554191 100.96341255   0.04171317
     111   0.09370144   0.03232013 102.35133824  15.96393832  81.49827639   0.75280076
     112   0.09712285   0.01892318 100.71991941  14.16871417  73.29210334   1.38422276
     113   0.15177650   0.08170396 105.20762389  13.52733343  70.40865274   1.66344356
     114   0.04373378   0.01050308 100.12881375  13.27792592  79.65995917   0.87521231
     115   0.18044986   0.04365604 103.01366152  13.42920672  89.71741316   0.31861175
     116   0.15003967   0.04039141 103.21849028  13.40879749  96.39386348   0.07933962
     117   0.17024878   0.05125951 106.31287156  12.21000502  68.78810712   1.83530143
     118   0.07035113   0.02770420 100.80624951  12.91911442  90.34836043   0.29208294
     119   0.08694801   0.02278778  94.71507841  14.06679231 100.88045603   0.03951002
     120   0.04598539   0.01176101  98.48624923  12.78699942  83.27316527   0.64399387
     121   0.13894733   0.03253464 103.54868543  13.87776310  96.30286136   0.08202828
     122   0.09721275   0.02829144  96.06749355  12.82483516  88.71715334   0.36249910
     123   0.07815326   0.02645388  98.98203099  13.75169668  72.09099491   1.49654256
     124   0.05323568   0.01097022  98.60932638  12.57567287  69.05786238   1.80591455
     125   0.22290441   0.04546331  84.86556723  12.88410048 105.45231940   0.17371261
     126   0.15513573   0.03505373 103.86120605  12.19191799 103.33540742   0.10832899
     127   0.66770421   0.07189464  95.73244526   7.94504551 119.82919240   0.76408848
     128   0.11967240   0.02406089  96.50769356  12.09629574 106.80310232   0.21836220
     129   0.14024069   0.03403684  98.34442791  12.88330078  95.22132635   0.11511235
     130   0.03098198   0.00548375  93.87479174  11.70653221  90.62702955   0.28064423
     131   0.03772744   0.00811638  96.53631093  12.67794250  88.26415942   0.38313080
     132   0.06862471   0.01577436  98.73747416  13.53925287 106.56350049   0.21027588
     133   0.12419271   0.02009848  95.65971656  12.45789107 108.18555765   0.26641790
     134   0.14230449   0.02358381  98.18359341  12.99324294 113.30840977   0.46514176
     135   0.21431561   0.05116643  88.07521739  13.87732454 109.34764991   0.30865450
     136   0.10898296   0.03546888 101.90275116  13.57864481 102.21084592   0.07587284
     137   0.09652246   0.03633684 101.38901583  12.63205633  85.32630422   0.52895597
     138   0.55598539   0.08907393 109.52621304   5.85665329 137.52091771   1.81505207
     139   0.23525357   0.05700969 118.05200939  14.89944212 111.50837805   0.39163318
     140   0.13016642   0.02362434  91.12887223  13.39437617 108.64449839   0.28289769
     141   0.31263367   0.07540645  90.64515420  11.65962977 111.55631686   0.39353944
     142   0.13516289   0.05024866 108.44348966  12.79338702 109.00394648   0.29598775
     143   0.11310127   0.01634051 100.06649311  11.64376973 122.84106231   0.91896913
     144   0.17326487   0.05622450 105.71602523  13.69528918  75.19157536   1.21765581
     145   0.16166334   0.04138245 100.44139985  12.42859801  94.54816878   0.13678184
     146   0.17069492   0.02791807  98.03951367  12.05406518 120.23416416   0.78430741
     147   0.52572886   0.11460043  88.92016075   6.28600048 109.47725770   0.31346908
     148   0.23417028   0.04526459 107.72019504  11.99625109 131.56939162   1.42461446
     149   0.62653916   0.10117511  91.10477995   7.64907081 110.90763208   0.36798446
     150   0.09590595   0.02671705  96.66099208  13.06522719 100.15578098   0.02062648
     151   0.19315883   0.03657508  93.57394076  12.11324640 107.25554793   0.23382725
     152   0.26077971   0.06336960  92.41746042  12.86911347 112.57351114   0.43465198
