 MRK M_P SD_P M_XtX SD_XtX XtXst log10(1/pval)
       1   0.65065364   0.05758749 102.69768006   7.91941933 136.36292330   1.73631883
       2   0.11803638   0.02965660 100.68929256  12.25403587 102.23580742   0.07657614
       3   0.16166054   0.03585269 100.44316941  11.92009523  90.44901102   0.28793197
       4   0.42312937   0.05694412 106.99411039   6.81458414 144.12692119   2.28861726
       5   0.02663224   0.00600485  94.01251413  13.95524767  66.33162302   2.11787979
       6   0.03912549   0.00597775  96.54847526  13.12421273 103.01961227   0.09905541
       7   0.09464748   0.02446426  99.00619089  14.05087439  68.08970069   1.91286804
       8   0.11676887   0.02017080 106.18770983  11.98543739 134.05467666   1.58332912
       9   0.47491449   0.07799862  87.34994310   5.30735758 116.45840084   0.60323547
      10   0.10806886   0.02715626  94.00678923  13.43446173  66.27791827   2.12436824
      11   0.22009481   0.06140724 111.73322421  13.27796963  78.25268203   0.97596451
      12   0.08578941   0.01430149  95.35671160  12.38006132  92.41456825   0.21119939
      13   0.09909439   0.01814542  98.11675697  12.67475524  96.73378611   0.06942464
      14   0.30606632   0.06216449 105.18546219  11.03208014  84.66401860   0.56483759
      15   0.24898483   0.05410355 106.32089417  14.01641533  78.12566619   0.98536931
      16   0.19500061   0.03434145  87.44120511  12.06705513 116.46458382   0.60351823
      17   0.14339006   0.03665075  91.27524927  13.55955212  74.20581091   1.30244466
      18   0.10631775   0.02286692  92.25411044  13.47715831  97.19526309   0.05628362
      19   0.13397502   0.04439629  98.71150024  14.19535587  78.71374560   0.94226273
      20   0.10933535   0.01897145  99.27656131  14.45671599 121.23755699   0.83521870
      21   0.11563454   0.03310034  95.51563950  13.79170618  97.41429206   0.05017361
      22   0.25270342   0.04709084  96.26712793  10.63063395 121.09553798   0.82794247
      23   0.04393860   0.00809825  96.28992341  14.31756482  98.59336753   0.01865340
      24   0.19832557   0.04917283 105.33465327  14.25962786  84.15318070   0.59330432
      25   0.18336552   0.03636079  93.69682137  13.17116252  63.51443367   2.47725099
      26   0.27811741   0.04432447 124.42130502  10.97873500 164.00253231   3.94018992
      27   0.20699689   0.04519313 104.16070945  13.92561488  67.11119732   2.02521795
      28   0.40329466   0.06463140 103.48090775   9.72720130 111.62198310   0.39615521
      29   0.14063148   0.04463300  94.93373685  13.07902281  72.98789738   1.41214586
      30   0.07591180   0.01477546  97.86276854  13.81682067  82.35068319   0.69942746
      31   0.34546271   0.07748111 103.56982028  11.68612468  71.62871682   1.54127063
      32   0.09179386   0.01654143 104.28348043  13.23564407 124.11385714   0.98751548
      33   0.20125276   0.03600668 102.67073744  12.92953197  97.61416943   0.04466841
      34   0.10372407   0.03135712  98.80139734  12.71120308  80.58131011   0.81258940
      35   0.23931971   0.08923225 102.22363074  13.41377109  72.22400121   1.48382950
      36   0.16221664   0.02749269  92.10769577  13.39264041 116.06527857   0.58535037
      37   0.10204306   0.02971812  98.93482315  14.43196033  98.55325801   0.01968833
      38   0.11705525   0.02325775  94.50808773  13.57519722 109.23866903   0.30462228
      39   0.05896662   0.01181460  95.96416140  14.13189441 107.55155124   0.24408321
      40   0.08551764   0.02240812 100.55396591  13.25434743  74.65546471   1.26333207
      41   0.56446594   0.06560743  99.88836347   6.20501320 133.32614135   1.53615105
      42   0.06338905   0.01192133  99.86046075  13.58329996 115.41507749   0.55617488
      43   0.49107659   0.05033195 139.97919764   5.38848310 192.73609536   6.82271409
      44   0.27852725   0.06547284 102.52194687  12.72032240 104.56611007   0.14565888
      45   0.20150251   0.03209184 108.52134487  12.35105410 143.12061076   2.21386093
      46   0.06979011   0.01762784  96.42205767  13.80012886  94.93879389   0.12410487
      47   0.11885544   0.02728184  94.27631362  12.08821199  76.89404133   1.07931512
      48   0.07926379   0.01593412  94.85168813  13.53854365  91.10539620   0.26139957
      49   0.12102101   0.02594380  93.34080665  12.64264573  93.98778010   0.15547043
      50   0.07903784   0.01594948  98.33909943  14.66404155  81.73297823   0.73789548
      51   0.08120710   0.01427102 100.37435518  13.38635582 124.57592223   1.01284831
      52   0.08597127   0.02115434 100.30236728  13.06273732  87.07201843   0.43974772
      53   0.22965622   0.04301683  94.66991272  10.66261740 122.12283768   0.88109508
      54   0.10883321   0.03094669 101.73829322  13.48742066  82.14252741   0.71226818
      55   0.11606599   0.02237928  97.03107440  13.26083497  70.89096208   1.61442263
      56   0.21981888   0.03600388 105.96854939  11.21238075 134.41655163   1.60696239
      57   0.25741006   0.13538107  98.42779768  13.39068705  55.75289765   3.69384637
      58   0.33425417   0.05665570  99.62578885   9.36623745 133.47772931   1.54592317
      59   0.14913656   0.02380127 108.11090761  12.46723506 140.96087835   2.05655498
      60   0.07776084   0.01953506  99.65192684  13.78898594  93.81967602   0.16119362
      61   0.20914752   0.05643190 103.08433217  13.04593907  79.26016036   0.90319966
      62   0.76646380   0.03774064 109.49936139   9.91961928 146.43885950   2.46381273
      63   0.05328761   0.01206052  99.61034917  12.46295535 101.03748220   0.04368751
      64   0.32229855   0.05161622 105.46594559   8.54823943 140.16741863   1.99985278
      65   0.20865185   0.05521883  95.12792275  11.51214440  87.34475416   0.42649375
      66   0.30419663   0.05342240  87.84742683  10.05761087 114.58049696   0.51946983
      67   0.13158360   0.02999826  96.33050609  11.85682289  63.17421425   2.52336538
      68   0.09000702   0.01634127  95.81884254  13.66998927  80.84305564   0.79526806
      69   0.11713931   0.02172645  97.44063337  13.19186600 114.54593743   0.51796799
      70   0.05649858   0.01618543  95.47647332  14.37297265 105.25926970   0.16751776
      71   0.29211496   0.04820235  92.06150816  10.59993068 116.26741419   0.59452350
      72   0.14892936   0.04814212 101.12483843  13.17851221  71.76417457   1.52807662
      73   0.24052598   0.05686067 104.97529733  14.61851922  67.39246362   1.99247758
      74   0.09927338   0.02084424  98.71595608  13.11438764  91.32099533   0.25288582
      75   0.13434994   0.02289459  98.54352345  13.74615571 122.78079526   0.91576863
      76   0.12580361   0.02520353  97.62615594  12.96968441  88.34631672   0.37935339
      77   0.21267083   0.05254090  99.37992063  14.13309600  61.39619331   2.77442396
      78   0.48115729   0.06343776  99.96837784   4.82875047 135.44791094   1.67503802
      79   0.11101064   0.02535290 101.67119086  13.70424655  78.66407799   0.94586045
      80   0.10530632   0.02207692 100.62972061  13.49676337 108.99133943   0.29552592
      81   0.02911112   0.00551924 100.97911643  13.71728894  78.33939248   0.96957410
      82   0.40560711   0.07464356  80.08173151   7.35171830 104.57501325   0.14593584
      83   0.09420240   0.01723398 100.43258720  12.52417861  90.93388285   0.26824308
      84   0.31618002   0.04956581 108.97707009  10.04211053 146.68805756   2.48297966
      85   0.12920914   0.03149914 104.19988342  12.99661366  67.07546290   2.02940360
      86   0.11690234   0.03132209 100.56602654  12.71467310  96.39325104   0.07935767
      87   0.56595825   0.06881363 101.59897151   6.25865793 135.30701570   1.66567556
      88   0.11430350   0.04366241 101.12169296  15.42582920  72.54392785   1.45353306
      89   0.11150887   0.02813490 107.05081360  13.38454860  98.62473897   0.01784573
      90   0.09596703   0.03863161  99.16044958  14.64722335  66.48869565   2.09898095
      91   0.14680213   0.02738897  93.82302996  11.95827846  91.07198217   0.26272789
      92   0.09381973   0.02428317 103.82015496  13.44610014 114.72513407   0.52577092
      93   0.14629776   0.02584661 104.17419593  12.63049038  76.75132889   1.09052848
      94   0.09936469   0.02715815  96.37276581  14.15473254  80.31399993   0.83049176
      95   0.23906570   0.04026630 117.94945065  11.55174340 137.30564687   1.80031656
      96   0.48981291   0.08091036  87.16986518   7.03935014 101.15315181   0.04678432
      97   0.79478097   0.04539871  96.87640827  11.86041395 110.37018861   0.34720449
      98   0.12695862   0.02073598 113.01158325  13.36997095 145.18621774   2.36829756
      99   0.13523246   0.06059228  94.56778067  14.26468402  66.62711418   2.08242279
     100   0.34981200   0.05944825 103.84464509   8.76444195  94.32833958   0.14404191
     101   0.14432083   0.02388368  94.43094829  11.91911705 117.29457003   0.64188848
     102   0.05192105   0.01402942  97.73838105  14.22989415  83.30118629   0.64234718
     103   0.06402289   0.01470416  91.72858854  14.00430473 106.88605465   0.22117847
     104   0.18173112   0.03289274 102.99696729  11.68125947 121.16268974   0.83138005
     105   0.09362547   0.02840378  99.71834894  13.31111968  69.46401103   1.76226231
     106   0.64819324   0.06298922  89.40384691   8.06377095 119.99016156   0.77210241
     107   0.17098580   0.03903724  98.73945498  12.91533977  76.20727106   1.13391337
     108   0.25160930   0.04831601 109.26401835  12.22546937 110.32440552   0.34545080
     109   0.14874802   0.03520595 101.39082185  14.91515877 104.01695732   0.12876789
     110   0.07904603   0.02487174  91.83646542  13.30111706  89.85772754   0.31263586
     111   0.12341812   0.02500768  97.28422120  13.92623316  70.30786239   1.67380899
     112   0.09229533   0.01913331  96.75346616  13.58494730  63.40601688   2.49188053
