 MRK M_P SD_P M_XtX SD_XtX XtXst log10(1/pval)
       1   0.59754795   0.06084518 111.05706052   6.27568567 147.75722810   2.56583106
       2   0.09693435   0.01934588  99.18687729  13.82980074 122.47872099   0.89978877
       3   0.09827222   0.02252985  94.74158920  12.62589904  96.33754912   0.08100171
       4   0.46867682   0.06870754  99.84140667   6.33628290 133.92102422   1.57463392
       5   0.03179964   0.00939831  98.34939184  13.81398928  60.13780698   2.96271902
       6   0.05895025   0.01478228  96.22841505  13.84885777 106.77945896   0.21756107
       7   0.11004818   0.03192433 100.65146263  12.91460508  68.45899392   1.87158523
       8   0.13016140   0.02252408 105.49235492  13.57625259 135.23228537   1.66071776
       9   0.50399525   0.08583521  96.11383051   8.80030387 126.35980203   1.11286571
      10   0.12194932   0.03075649  96.97943548  13.83590712  95.29128666   0.11290831
      11   0.40995166   0.12289406 105.90110945  10.89029139  79.92470901   0.85695175
      12   0.10410618   0.01921934  98.10782567  12.59342083 103.51421344   0.11363501
      13   0.11615783   0.01884277 102.52514895  13.05272036 106.51862076   0.20876921
      14   0.32750125   0.08047487 109.71091708  11.20122073  86.15580386   0.48561197
      15   0.36268613   0.09557414 107.72558777  12.77023683  91.98772133   0.22717599
      16   0.22009758   0.04414996  89.64752166  12.25318709 118.20869731   0.68509194
      17   0.12412541   0.03681621 101.21333834  14.55690296  95.97923992   0.09170809
      18   0.05907796   0.00935767  94.86518021  13.12568819  96.65248890   0.07177765
      19   0.16181006   0.06005462 102.26592971  13.02917507  73.54121937   1.36161722
      20   0.11298332   0.01966982  92.70762552  13.29634296 116.68338622   0.61355403
      21   0.10443938   0.02560644  96.38438520  13.74324928  96.06121789   0.08923849
      22   0.28192351   0.06745337  97.59806830  10.32123194 117.34639583   0.64431148
      23   0.07418738   0.01516619  91.05902042  14.31720433 102.26373229   0.07736385
      24   0.17332792   0.04569638 100.03690074  12.46399556 112.00835962   0.41165341
      25   0.07823018   0.02322625  96.29734610  13.34809149  67.47283884   1.98318817
      26   0.29612665   0.04549872 123.35806676   9.67125049 162.81572566   3.83286861
      27   0.32480486   0.06554882 108.17950113  12.17552253  74.24930580   1.29862901
      28   0.34138082   0.06894415  98.17249740  14.37105647 102.17903120   0.07497757
      29   0.19310996   0.07873453  96.89371077  14.29480138  77.32423116   1.04592880
      30   0.05148086   0.01080974  97.40410450  14.16852554  91.32415527   0.25276177
      31   0.25514172   0.06098326 112.91017221  11.18679347  86.25952655   0.48031490
      32   0.09355806   0.01979072  98.16358079  14.06812743 115.84860034   0.57557147
      33   0.21416202   0.04564743 100.71968096  12.32693124  94.04358142   0.15358267
      34   0.14456178   0.04096603  97.38010019  12.37531707  69.06176706   1.80549150
      35   0.30441619   0.09020037 121.12924883  18.66990304 103.45863311   0.11198140
      36   0.16835361   0.03128920 102.40518086  12.80357609 132.92503113   1.51040609
      37   0.11386168   0.03080181  98.18684243  12.98216984 100.31843853   0.02480848
      38   0.12338435   0.02011401  96.71390340  12.73246396 118.31160151   0.69001701
      39   0.04584025   0.00819811  95.47612185  15.01745865 109.62386604   0.31894029
      40   0.15188514   0.05014172  99.10852203  13.85073516  78.59753532   0.95069288
      41   0.54231556   0.07802995  92.49331512   7.98929173 123.44230304   0.95112232
      42   0.07046084   0.01466594  97.51154994  12.22390874 116.24387747   0.59345287
      43   0.49966014   0.04985491 148.78911927   9.50139484 203.48295502   8.02318715
      44   0.24342338   0.05490765  97.88854986  14.18320410  92.96256769   0.19123043
      45   0.24150755   0.04292951 102.31515565  11.22204942 135.56101356   1.68256793
      46   0.06772061   0.01353703  94.26392824  13.72640446  88.44662347   0.37476292
      47   0.09752794   0.02413164  99.55003321  12.96766081  80.90249374   0.79136322
      48   0.12906514   0.04113915  99.11270014  13.12484879  88.62312571   0.36674236
      49   0.22707609   0.07666799 101.78014483  13.28035230  93.80316541   0.16175867
      50   0.08004424   0.01402356 102.94473004  13.31458257  87.87649939   0.40116900
      51   0.09426350   0.02318547 104.63692256  12.67335623 127.26593452   1.16500446
      52   0.10677396   0.02099678 102.96683193  13.27384533  87.78807741   0.40533324
      53   0.27102125   0.05029091  97.22936584  12.60870860 127.48757252   1.17789305
      54   0.17565688   0.06281971 100.43867424  12.36266251  89.63255626   0.32224707
      55   0.09440176   0.03100819 100.49820415  13.14857593  70.57745594   1.64617784
      56   0.25111454   0.04623225  97.87690123  13.22822435 125.15811157   1.04510451
      57   0.14852713   0.04334964  98.43513117  13.31420970  56.48952706   3.56238730
      58   0.26938646   0.04897069 100.64941822  10.04248722 133.23313019   1.53016662
      59   0.13736467   0.02276922 108.95390632  13.19030893 139.89449372   1.98048606
      60   0.06289094   0.01046780  97.81314070  12.58784905  76.59240227   1.10309718
      61   0.25965829   0.07955674  99.25836178  11.17649578  72.19866149   1.48624619
      62   0.70670813   0.05305686 107.21125639   9.14322406 143.06975142   2.21010718
      63   0.05219918   0.00976155  97.72797711  13.27973330  99.39142944   0.00141150
      64   0.31457006   0.05401921 110.42603073  10.83954809 147.74577890   2.56493858
      65   0.28457254   0.08083145  95.49712649  11.78089977  93.89979315   0.15845920
      66   0.29769410   0.05409720  95.93449082   9.93530326 125.76684909   1.07923196
      67   0.13740858   0.05559932  99.73182176  13.52773507  63.00944567   2.54591682
      68   0.10636240   0.02118774  97.64169014  12.87590263  84.91396065   0.55116130
      69   0.10790750   0.02025261  96.67277622  13.28127277 113.64236953   0.47921452
      70   0.05182305   0.00941847 100.06822358  13.84966460 110.59182353   0.35573073
      71   0.27060470   0.05009050 103.19881693  12.53104544 129.45570147   1.29465487
      72   0.14372393   0.02580543  94.78199997  13.32498111  65.59264205   2.20836926
      73   0.34174942   0.09516301 112.24836850  13.17603404  82.60041551   0.68418456
      74   0.07530762   0.02271389 101.54044235  12.50923721  87.13784122   0.43653240
      75   0.13091215   0.02366746 108.63942474  13.71132699 132.18877700   1.46357788
      76   0.11980655   0.02863553  99.52718008  13.42426742  89.04819507   0.34772211
      77   0.22695044   0.06653724 110.76717585  13.70185569  63.35035822   2.49941479
      78   0.56620262   0.06982225  98.98748190   4.72398217 133.17847407   1.52665409
      79   0.20291915   0.05238227  94.76538241  13.01132580  92.05430652   0.22465914
      80   0.13374540   0.02683131  98.61299372  12.95710205 105.92270301   0.18900209
      81   0.03665012   0.00851562  97.30661213  15.07341753  72.75143668   1.43409455
      82   0.30477806   0.05737185  93.40980730  10.25104528 123.10935631   0.93326668
      83   0.16616164   0.03963794  97.58083549  11.99730486  76.39917384   1.11849470
      84   0.32311067   0.05422278 115.23297661   9.54842138 154.91886198   3.14579915
      85   0.07585963   0.02635683  94.40604903  12.55902898  59.36278110   3.08326060
      86   0.12738224   0.02418816 102.50093672  14.41571731  86.22222404   0.48221681
      87   0.59317226   0.07689856  88.96217155   7.41571674 118.63390137   0.70552296
      88   0.10095522   0.02174340 100.76804826  13.69591040  67.50386949   1.97960966
      89   0.11634903   0.03509215 104.95820499  13.64561961  93.32696666   0.17828396
      90   0.13128721   0.03135731  93.09979304  13.61368580  72.59241167   1.44897642
      91   0.10718720   0.02248374  97.01807432  12.85140466 101.46555189   0.05523113
      92   0.05875652   0.00955043  98.32021595  13.52665437 104.41469640   0.14096401
      93   0.25813542   0.08576182  98.68651409  13.37141089  75.21182847   1.21595044
      94   0.15747147   0.03010728  93.53111240  13.00937053  86.68187509   0.45902344
      95   0.29776530   0.05598487 102.59352735  10.18707197 118.05525931   0.67777139
      96   0.44759390   0.06254896 116.65300582   6.76995411 140.41006790   2.01713016
      97   0.86451184   0.02543393  84.80094758  12.91771882  99.25648576   0.00191460
      98   0.13925098   0.02149931 110.55759945  12.77256813 142.24171781   2.14932627
      99   0.08945126   0.02494205 100.20131594  12.98811652  81.17411649   0.77365231
     100   0.29126525   0.12456789 102.06180871  10.75139748  83.98788448   0.60266507
     101   0.12509818   0.02420468  87.44386804  12.44763395 106.72803460   0.21582103
     102   0.07366758   0.01558027 104.45727482  12.61883940  96.60155249   0.07325777
     103   0.04772799   0.00826844  91.88762421  13.39485292 108.99795868   0.29576838
     104   0.23333778   0.05292398  95.99529459  10.71716904 118.64332602   0.70597821
     105   0.12898786   0.02728652  99.07133311  12.61518787  92.52282465   0.20720654
     106   0.64266556   0.07384977  82.69872023   8.49503064 111.58412287   0.39464643
     107   0.18621958   0.07884356 103.02540618  14.33093863  80.51662728   0.81690157
     108   0.26760275   0.06032169 106.68388292  12.05503496 109.47234189   0.31328609
     109   0.14866233   0.03430966 105.54385834  12.64497051 111.49392483   0.39105901
     110   0.06284648   0.01468432  97.78525424  13.51238814  97.39264924   0.05077375
     111   0.16720314   0.06609757 100.61714794  11.88978511  79.42996401   0.89125191
     112   0.12463142   0.02496451 101.89113187  13.74370232  78.08646118   0.98828279
     113   0.10629120   0.02767892 103.77479325  15.28403774  65.02071459   2.28021616
     114   0.03541179   0.01088875  97.90945000  12.87812327  80.89357866   0.79194823
     115   0.17367047   0.05579228 101.74749096  12.20116359  92.24984611   0.21732063
     116   0.25778492   0.09493154 112.98158609  11.86915960  96.92591511   0.06390918
     117   0.18162465   0.04156630 106.58821955  13.12103858  59.51368801   3.05951034
     118   0.15550829   0.05642740 101.46787480  12.97657778  87.80574179   0.40449985
     119   0.09879104   0.02079472  98.67582248  14.02015698  94.61971810   0.13443850
     120   0.05849769   0.01656365  94.41530634  12.39878075  82.88010591   0.66732201
     121   0.09281121   0.02321962  94.95497361  13.74135942  85.59053316   0.51495834
     122   0.15468684   0.02938552  93.64564210  11.74825506  89.10025114   0.34542130
     123   0.10130055   0.02268602  92.13202321  14.18544549  66.67164399   2.07711506
     124   0.10109374   0.02513198  95.85157573  12.31396002  77.21967995   1.05398580
     125   0.51737608   0.11814177  72.06525061   6.85188846  94.74224819   0.13044776
     126   0.20055566   0.04322968  99.37600883  12.23721322  87.95657472   0.39741389
     127   0.69612109   0.05782123  97.62556284   8.47461403 131.20432604   1.40183527
     128   0.12506450   0.02602363  90.56134503  11.75228758  98.59861988   0.01851806
     129   0.22953933   0.05758654 102.41493770  12.23637789  90.64391935   0.27995636
     130   0.05956179   0.01209687  92.09719324  13.19041442  87.08799917   0.43896612
     131   0.04003669   0.00847394  97.88414982  13.09311078  92.70124603   0.20067752
     132   0.07987678   0.02071606 101.73708410  13.98546724 118.41728647   0.69508812
     133   0.17679702   0.04512275  97.75083265  12.55154749 102.91468083   0.09600157
     134   0.21096799   0.04308860  99.08165763  13.09490845 104.37151093   0.13963022
     135   0.61720994   0.08183151  81.96306511   7.55970921 108.42463663   0.27497012
     136   0.10035596   0.02454064  99.23795698  14.30572889  95.44354087   0.10814258
